timestamp,symbol,strike,option_type,entry,sl,target,status,executed_at,pnl,exit_price,exit_reason,expected_outcome,source
2026-06-08 11:50:37,TRENT,74300,CE,340.0,300.0,430.0,EXECUTED,2026-06-08 11:50:37,0,,,,TELEGRAM
2026-06-08 12:13:25,NIFTY,23200,CE,120.0,100.0,150.0,EXECUTED,2026-06-08 12:13:25,0,,,,TELEGRAM
2026-06-08 12:21:57,NIFTY,23250,CE,100.0,70.0,130.0,EXECUTED,2026-06-08 12:21:57,0,,,,TELEGRAM
2026-06-08 12:46:56,NIFTY,23200,CE,130.0,110.0,165.0,EXECUTED,2026-06-08 12:46:56,0,,,,TELEGRAM
2026-06-08 12:49:05,HAL,4350,CE,70.0,66.0,77.0,EXECUTED,2026-06-08 12:49:05,0,,,,TELEGRAM
2026-06-08 12:54:37,NIFTY,23200,CE,130.0,110.0,165.0,EXECUTED,2026-06-08 12:54:37,0,,,,TELEGRAM
2026-06-08 13:07:46,NIFTY,23250,CE,100.0,70.0,130.0,EXECUTED,2026-06-08 13:07:46,0,,,,TELEGRAM
